Title,Price,Shipping,URL
Shop on eBay,20.00,N/A,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
Men's Stretch Golf Shorts Lightweight Quick Dry Zip Pocket Chino Flex Half Pants,19.99,+$14.37 shipping,https://www.ebay.com/itm/354649433657?hash=item5292c0e639:g:PssAAOSwbWVkD-x8&amdata=enc%3AAQAIAAAAwLElfVPXDU%2Fz6vd6hVLX%2FSQLClHP8Q%2BVoQ%2BEpflZIppwA%2BVEkmfbqCEx%2BfM1fWpKBEueIWONHQJBK%2F9dnqM3%2FVmdPMaFbTJNFGRWMLS5y5Yo%2F4ftXyHe6A8SQ6ha5pXx%2FOiEKK9ZC4tAnNWebLKeLqB5OQejvpoTV66Uc9mg1vYy2V1WC0TgWC41KXhS%2BUk1wS0bTxi%2BlATy5UPfs6vPkGacpdhGZhNz9h8wJvHnGEJlV%2FzaPyFpSvt0wqiQceq3dw%3D%3D%7Ctkp%3ABlBMUIivivCOYg
Sport Shorts Men Sportswear Double-deck Running Shorts 2 in 1 Beach Bottoms,16.00,Free International Shipping,https://www.ebay.com/itm/394574141716?hash=item5bde739914:g:hXQAAOSwa0pkPdFl&amdata=enc%3AAQAIAAAAwFCz4iuxlDd7ZLOnfoZMDX5FhRY59asdPq3qkcPuv82DdItV9FI0FW4sqCx3Mr%2F6ian5vpZHlL47tyZ16HN7OJ4EeqeOLfzPPe3BnRXpMcDPbi57gESwiswugu2xqjRjE2UQIcGfPY0Rve3sH48%2FKYnlng4zJ%2FKPK7yacIgiJAQJt3JNHZfk6sHhUNxcC%2BV9xHShvOUR%2BcdDYKXRTlm%2BmZy7YE1t06P9gCsf0gAStVQhE7RdDqgVueBcyIAOO%2B9IRw%3D%3D%7Ctkp%3ABlBMUIivivCOYg
Men's Sports Shorts GYM Training Bodybuilding Summer Workout Fitness Short Pants,11.99,Shipping not specified,https://www.ebay.com/itm/202985690607?hash=item2f42e3d5ef:g:1ZgAAOSwwjtg4m3f&amdata=enc%3AAQAIAAAAwH22OPn9q7mlit3ORhTMw%2F37Pq6wQlo7FJ8P9RC7gIu2IhA1TuHjms6gYVAKFu7DMwhs6hIveKMGaWs%2F8nzrzS%2F2uZnaCAQ14MCf6m7jSyPu0WmDIqj24gkstQKMdml5u1PbW%2F5aOVu5f1rOuloE7Hxhhm1RkKiqAaR3Z3wVMBJzA0MYCa35Si8gtN3AuguLzb4MlP%2FZKaa2a9q9kcgpogXchcOjvynEQTCmoeVUvnIUEh2OztpKnlO4QBuRWhBeeA%3D%3D%7Ctkp%3ABlBMUIivivCOYg
Men's Basketball Gym Shorts Casual Workout Shorts Drawstring Running Short Pants,6.57 ,Free International Shipping,https://www.ebay.com/itm/403858113281?hash=item5e07d1c301:g:kLIAAOSwbq5ivRHY&amdata=enc%3AAQAIAAAA4HTUWO0q19EFu3Ydu64Om%2F720eRXZZinWajfXGYWfcHSzmvp3QFRuG4pGEjRpOeSTOFjZ7%2Byynw8kJJm63S3Cu0UEfe4Lhiz1fNiCny%2FA9LyMdplFHWEasSleVEMePecZW3gdr%2FujTNxCl5JccLO1iTb54MTHvIO6M%2BEHDWbGGvnlnxduCgzDWXqPY%2FlriukNtKYkdalKbiS7HkPvUv%2B%2BS7vIsF77HmJvJaXZWB%2BwyTqyUDpbA0XwiipmscbkY1N8YWPspSmBGVrURBfz6ZOE89uYwH6j7vI%2BGPt2%2BPNqIEp%7Ctkp%3ABFBMiK-K8I5i
RDK Mens Football Shorts Quick Dry Running Jogging Gym Sports Breathable Fitness,7.37 ,+$8.53 shipping estimate,https://www.ebay.com/itm/265111561561?hash=item3db9e16559:g:bjAAAOSwbqFgrmKC&amdata=enc%3AAQAIAAAA4IYli8S5Xc8IPtzJ6Nr2VpU6PSnI2XmDm%2FF2zMAt2BWZyW9aMKb%2Fn2C3fbA3Pvm%2BZamklWTYkYcykBhRxvdDAzZPU8%2Fis%2BdnZzwjcHlcNNC8aIbj5mxcrvdyAIQzpQrK9k7AzYwDGnImHc4djel0trToJWvrbnXhRyXME98QuzZozL3P9uILFhkdKlnOWgrhQ%2Ba00I4EPj1tUK4OYKRMJ6b59kV%2Blmv1yUPclBgAMavy2GtSDM0YOuj%2BN3oJU0erszZoXaPWjNTUX9OGV0f20LNE00m0A9IZcGPT%2FajuAp5c%7Ctkp%3ABk9SR4ivivCOYg
Men Sports Training Running Bodybuilding Workout Fitness Shorts Gym Pants Work,6.98 ,Free International Shipping,https://www.ebay.com/itm/304762104117?hash=item46f53ca935:g:NDwAAOSwDJxjt~MZ&amdata=enc%3AAQAIAAAAwI57qcLXpLwt92idmHzDrZN9cvQSJBpkFY3135%2FfTHTs66jOkAx9LcdugII3sXDI2Qy5IAd94NHy4vjqm9syZeN6D%2F3jj%2F7qDpb5sWYBG8Z8eW6IGqEJDyRZJKRhU65W%2BKMfEWhCY2vU4hqrU16W9ZXIQnutv2mL7mWdUyMr2ogVOsRA6TazTDtKQkUBlJFuOcnTpEP7rYJzFYSBQxI%2Bvq7u11m5%2F2veMy3L0feF527q21nRJEmSZ0WrvFk6RLBxwg%3D%3D%7Ctkp%3ABk9SR4ivivCOYg
Mens Football Shorts Jogging Running Gym Sports Breathable Fitness Size XS - 2XL,6.80 ,+$22.30 shipping,https://www.ebay.com/itm/302524310959?hash=item466fdaa5af:g:eZAAAOSwAC1aB2cV&amdata=enc%3AAQAIAAAA4IExS7Fci6b8UOfMCcDo7HHR5oRaDXEuciobMuNyrgFMYWMEy6OP9oYbFdKe0M%2FwO%2BF5%2FjPP%2BasV8F1FwbYejHWnLZGRasSp8wmc6AqlSS%2F%2FSLKbxu02WD%2BC6PSS9MpoSgyh%2BKgiYdw8MYhDSOLWJd5CByx%2FyEkUq28fRqhA8dT0zkawLXqhLdkMegbvmeuE8UtkFvyNdmYk%2BFTAVlU15ucNER9sPsOvP7PcxAnpJxuqtyhFnKk%2FoBhlAjXusgyHVWx0ibB7CRxliqtNvOqVceLNN2n5aEJSPC4XSb0JvjmB%7Ctkp%3ABk9SR4ivivCOYg
Men's Football Shorts Jogging Running Gym Sports Breathable Fitness Size S - 2XL,6.80 ,+$8.66 shipping,https://www.ebay.com/itm/314019303836?hash=item491d02519c:g:fqYAAOSwp~FilyqK&amdata=enc%3AAQAIAAAA4K1BdX6SirkmzfC9yCffp6aLubqiHVCsg%2BWTBRb0%2BmBvwNXyEN%2FTGFe9BEbHj75g%2FwR7q%2FoaDfi2NNhrOu0zS0yJORlkE%2BmGkLzU01IDwK6Iq0H2OjS6WQJbB68DwjD9IeU%2FVQ9RhYOPdizJrl9AvcjtoWJN5BxU8ENBOTniWt8AL0rq9izjkyxniP3E1J29HB0Ffp3Omw%2BAhL8WuSdiZdQ4F%2Flx9fhSprLWg8kXd9znXZ3YNribPdj6CZRgdgGmZn08JpcGiFPgL0RCfc3I6teF%2BW38iQJghQY0KE5HeLNa%7Ctkp%3ABk9SR4qvivCOYg
adidas Essentials Chelsea Men's Shorts 3 Stripes Sports Gym Running,18.58,+$9.28 shipping estimate,https://www.ebay.com/itm/114783658505?hash=item1ab9a3a209:g:I4QAAOSwiWhgh~a1&amdata=enc%3AAQAIAAAA4Pj%2F9TRpDFCmLoSWe%2FSXEBFgrHTXU%2BO6hTUSYvKCoLIBQ5Zpm3Aa1O3cGgOAfguBL57QmN0MJ%2FyaxZvuexBMW92xF%2BgBJdxKf6nL41L9ZKwsfBDadaAw77%2FLdLjZXzZGtDt%2BKzVNYSWB6uHnMfEt3%2Bo82KWdLBGQzQZXeBP3XTd5CgTpV084ozoVzsuwMa7ng4wrf16D6MU0v5Ob%2FOeYZ4ctqpTeSgpKynVcZK3QQMqs0EKeNXCiP8oJ%2FuH6I6BlueC17tPJ459zIUavfeirEXwOp2pZb8AVPrLuJg49eJqt%7Ctkp%3ABk9SR4qvivCOYg
